date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02 00:00:00+00:00,1367.37,1368.14,1341.55,1341.55,1406731,68.3685,68.407,67.0775,67.0775,28134620,0.0,1.0
2020-01-03 00:00:00+00:00,1360.66,1372.5,1345.544,1347.86,1187006,68.033,68.625,67.2772,67.393,23740120,0.0,1.0
2020-01-06 00:00:00+00:00,1394.21,1396.5,1350.0,1350.0,1733149,69.7105,69.825,67.5,67.5,34662980,0.0,1.0
2020-01-07 00:00:00+00:00,1393.34,1402.99,1390.38,1397.94,1511693,69.667,70.1495,69.519,69.897,30233860,0.0,1.0
2020-01-08 00:00:00+00:00,1404.32,1411.58,1390.84,1392.08,1529177,70.216,70.579,69.542,69.604,30583540,0.0,1.0
2020-01-09 00:00:00+00:00,1419.83,1427.33,1410.27,1420.57,1502664,70.9915,71.3665,70.5135,71.0285,30053280,0.0,1.0
2020-01-10 00:00:00+00:00,1429.73,1434.929,1418.35,1427.56,1821566,71.4865,71.74645,70.9175,71.378,36431320,0.0,1.0
2020-01-13 00:00:00+00:00,1439.23,1440.52,1426.02,1436.13,1378286,71.9615,72.026,71.301,71.8065,27565720,0.0,1.0
2020-01-14 00:00:00+00:00,1430.88,1441.8,1428.37,1439.01,1560453,71.544,72.09,71.4185,71.9505,31209060,0.0,1.0
2020-01-15 00:00:00+00:00,1439.2,1441.395,1430.21,1430.21,1282685,71.96,72.06975,71.5105,71.5105,25653700,0.0,1.0
2020-01-16 00:00:00+00:00,1451.7,1451.99,1440.92,1447.44,1173688,72.585,72.5995,72.046,72.372,23473760,0.0,1.0
2020-01-17 00:00:00+00:00,1480.39,1481.295,1458.22,1462.91,2396215,74.0195,74.06475,72.911,73.1455,47924300,0.0,1.0
2020-01-21 00:00:00+00:00,1484.4,1491.85,1471.2,1479.12,2008830,74.22,74.5925,73.56,73.956,40176600,0.0,1.0
2020-01-22 00:00:00+00:00,1485.95,1503.214,1484.93,1491.0,1610846,74.2975,75.1607,74.2465,74.55,32216920,0.0,1.0
2020-01-23 00:00:00+00:00,1486.65,1495.52,1482.1,1487.64,1351354,74.3325,74.776,74.105,74.382,27027080,0.0,1.0
2020-01-24 00:00:00+00:00,1466.71,1495.495,1465.25,1493.59,1784644,73.3355,74.77475,73.2625,74.6795,35692880,0.0,1.0
2020-01-27 00:00:00+00:00,1433.9,1438.07,1421.2,1431.0,1755201,71.695,71.9035,71.06,71.55,35104020,0.0,1.0
2020-01-28 00:00:00+00:00,1452.56,1456.0,1432.47,1443.0,1577422,72.628,72.8,71.6235,72.15,31548440,0.0,1.0
2020-01-29 00:00:00+00:00,1458.63,1465.43,1446.74,1458.8,1078667,72.9315,73.2715,72.337,72.94,21573340,0.0,1.0
2020-01-30 00:00:00+00:00,1455.84,1457.28,1436.4,1439.96,1339421,72.792,72.864,71.82,71.998,26788420,0.0,1.0
2020-01-31 00:00:00+00:00,1434.23,1470.13,1428.53,1468.9,2417214,71.7115,73.5065,71.4265,73.445,48344280,0.0,1.0
2020-02-03 00:00:00+00:00,1485.94,1490.0,1458.99,1462.0,3055216,74.297,74.5,72.9495,73.1,61104320,0.0,1.0
2020-02-04 00:00:00+00:00,1447.07,1469.5,1426.3,1457.07,3932954,72.3535,73.475,71.315,72.8535,78659080,0.0,1.0
2020-02-05 00:00:00+00:00,1448.23,1463.84,1430.56,1462.42,1986157,72.4115,73.192,71.528,73.121,39723140,0.0,1.0
2020-02-06 00:00:00+00:00,1476.23,1482.0,1449.57,1450.33,1679384,73.8115,74.1,72.4785,72.5165,33587680,0.0,1.0
2020-02-07 00:00:00+00:00,1479.23,1485.84,1466.35,1467.3,1172270,73.9615,74.292,73.3175,73.365,23445400,0.0,1.0
2020-02-10 00:00:00+00:00,1508.68,1509.5,1474.32,1474.32,1419876,75.434,75.475,73.716,73.716,28397520,0.0,1.0
2020-02-11 00:00:00+00:00,1508.79,1529.63,1505.638,1511.81,1344633,75.4395,76.4815,75.2819,75.5905,26892660,0.0,1.0
2020-02-12 00:00:00+00:00,1518.27,1520.695,1508.11,1514.48,1167565,75.9135,76.03475,75.4055,75.724,23351300,0.0,1.0
2020-02-13 00:00:00+00:00,1514.66,1527.18,1504.6,1512.69,929730,75.733,76.359,75.23,75.6345,18594600,0.0,1.0
2020-02-14 00:00:00+00:00,1520.74,1520.74,1507.34,1515.6,1197836,76.037,76.037,75.367,75.78,23956720,0.0,1.0
2020-02-18 00:00:00+00:00,1519.67,1531.63,1512.59,1515.0,1121140,75.9835,76.5815,75.6295,75.75,22422800,0.0,1.0
2020-02-19 00:00:00+00:00,1526.69,1532.106,1521.4,1525.07,949268,76.3345,76.6053,76.07,76.2535,18985360,0.0,1.0
2020-02-20 00:00:00+00:00,1518.15,1529.64,1506.82,1522.0,1096552,75.9075,76.482,75.341,76.1,21931040,0.0,1.0
2020-02-21 00:00:00+00:00,1485.11,1512.215,1480.44,1508.03,1732273,74.2555,75.61075,74.022,75.4015,34645460,0.0,1.0
2020-02-24 00:00:00+00:00,1421.59,1436.97,1411.39,1426.11,2867053,71.0795,71.8485,70.5695,71.3055,57341060,0.0,1.0
2020-02-25 00:00:00+00:00,1388.45,1438.14,1382.4,1433.0,2478278,69.4225,71.907,69.12,71.65,49565560,0.0,1.0
